250.00   0.04
251.04   0.05
271.77   0.05
282.14   0.05
292.51   0.06
297.70   0.07
303.92   0.09
309.10   0.10
316.36   0.12
325.69   0.13
341.24   0.14
357.83   0.14
376.50   0.15
391.01   0.16
403.46   0.17
415.90   0.18
429.38   0.19
444.93   0.19
455.30   0.21
465.67   0.22
472.93   0.22
482.26   0.21
491.59   0.21
505.07   0.21
513.36   0.21
519.59   0.23
523.73   0.24
528.92   0.25
535.14   0.26
541.36   0.26
546.54   0.25
554.84   0.25
566.24   0.24
575.58   0.23
588.02   0.22
601.50   0.22
617.05   0.21
632.60   0.21
649.19   0.20
670.97   0.20
696.89   0.20
1000.0   0.05
