250.00  0.0000
277.93	0.0239
279.52	0.0437
281.11	0.0626
282.70	0.0785
284.29	0.0994
285.88	0.1193
287.48	0.1372
290.66	0.1630
293.84	0.1849
297.02	0.2008
300.20	0.2137
303.38	0.2227
308.15	0.2346
314.51	0.2465
324.06	0.2604
332.01	0.2724
341.55	0.2843
354.27	0.2853
367.00	0.2972
378.13	0.3181
384.49	0.3330
389.26	0.3479
395.63	0.3579
411.53	0.3767
425.84	0.3897
443.34	0.3976
462.43	0.4006
473.56	0.4006
491.05	0.3936
500.60	0.3877
513.32	0.3748
524.45	0.3628
532.41	0.3529
546.72	0.3360
564.21	0.3131
576.94	0.2962
591.25	0.2763
603.98	0.2614
618.29	0.2455
635.79	0.2197
648.51	0.2038
667.59	0.1829
683.50	0.1640
710.54	0.1421
739.17	0.1203
756.66	0.1083
775.75	0.0954
802.78	0.0775
825.05	0.0656
847.32	0.0537
867.99	0.0437
895.03	0.0348
1000.0  0.0000
